"","MapCountry","AgeChild","AgeAdult","AgeOlderAdult"
"858","Mexico","No","Yes","Yes"
"859","United States","No","Yes","Yes"
"860","France","No","Yes","Yes"
"861","Georgia","No","Yes","Yes"
"862","Georgia","No","Yes","Yes"
"863","Russian Federation","No","Yes","No"
"865","United States","No","Yes","Yes"
"866","Georgia","No","Yes","Yes"
"867","Spain","No","Yes","Yes"
"868","Switzerland","No","Yes","Yes"
"869","France","No","Yes","Yes"
"870","Switzerland","No","Yes","Yes"
"871","Egypt","No","Yes","Yes"
"872","Guinea","Yes","Yes","Yes"
"873","Turkey","No","Yes","Yes"
"874","Spain","No","Yes","Yes"
"875","United States","No","Yes","Yes"
"876","Georgia","Yes","Yes","Yes"
"878","Spain","No","Yes","Yes"
"879","Brazil","No","Yes","Yes"
"880","United States","No","Yes","Yes"
"881","Italy","No","Yes","Yes"
"882","Jersey","No","Yes","Yes"
"884","Germany","No","Yes","Yes"
"885","Sweden","Yes","Yes","Yes"
"888","Egypt","No","Yes","Yes"
"889","Bangladesh","Yes","Yes","Yes"
"890","United Kingdom","No","Yes","Yes"
"891","France","No","Yes","Yes"
"892","India","No","Yes","Yes"
"894","Denmark","No","Yes","Yes"
"895","India","No","Yes","Yes"
"896","Chile","No","Yes","Yes"
"897","France","No","Yes","Yes"
"898","Spain","Yes","Yes","Yes"
"899","Iraq","Yes","Yes","Yes"
"900","France","No","Yes","Yes"
"901","Georgia","No","Yes","Yes"
"902","Kuwait","No","Yes","Yes"
"903","United States","Yes","Yes","Yes"
"904","Moldova, Republic of","No","Yes","Yes"
"905","United States","No","Yes","Yes"
"906","United States","No","Yes","Yes"
"907","Egypt","No","Yes","Yes"
"908","Japan","No","Yes","Yes"
"909","France","Yes","Yes","Yes"
"911","Italy","No","Yes","Yes"
"912","Mexico","Yes","Yes","Yes"
"913","Mexico","No","Yes","Yes"
"914","Egypt","No","Yes","Yes"
"915","United States","No","Yes","Yes"
"916","Mexico","No","Yes","Yes"
"917","Brazil","No","Yes","Yes"
"918","United States","No","Yes","Yes"
"919","Croatia","No","Yes","Yes"
"920","Brazil","No","Yes","Yes"
"921","France","Yes","Yes","Yes"
"922","Spain","Yes","Yes","Yes"
"923","India","No","Yes","Yes"
"924","Russian Federation","No","Yes","No"
"925","United States","No","Yes","No"
"927","United States","No","Yes","Yes"
"928","Russian Federation","No","Yes","No"
"929","Canada","No","Yes","Yes"
"930","United Kingdom","No","Yes","Yes"
"931","Egypt","Yes","Yes","Yes"
"932","India","No","Yes","Yes"
"933","Austria","No","Yes","Yes"
"934","China","No","Yes","Yes"
"935","France","No","Yes","Yes"
"936","Switzerland","No","Yes","Yes"
"937","France","No","Yes","Yes"
"938","Egypt","No","Yes","Yes"
"939","France","No","Yes","Yes"
"940","France","No","Yes","Yes"
"941","Italy","No","Yes","Yes"
"942","United States","No","Yes","Yes"
"943","Canada","No","Yes","Yes"
"944","Congo","Yes","Yes","Yes"
"945","Canada","No","Yes","Yes"
"946","Thailand","Yes","Yes","Yes"
"947","United Kingdom","Yes","Yes","Yes"
"949","Italy","No","Yes","Yes"
"950","Austria","No","Yes","Yes"
"951","France","No","Yes","Yes"
"952","Japan","No","Yes","Yes"
"953","Italy","No","Yes","Yes"
"954","France","Yes","Yes","Yes"
"956","Austria","No","Yes","Yes"
"958","United Kingdom","No","Yes","Yes"
"959","Indonesia","No","Yes","Yes"
"960","Italy","Yes","Yes","Yes"
"962","Spain","No","Yes","Yes"
"963","Spain","No","Yes","Yes"
"964","Turkey","No","Yes","Yes"
"965","Bahrain","No","Yes","Yes"
"966","Georgia","No","Yes","Yes"
"967","France","No","Yes","Yes"
"968","Canada","Yes","Yes","Yes"
"969","Belgium","No","Yes","Yes"
"970","France","No","Yes","Yes"
"971","Spain","Yes","Yes","Yes"
"972","Oman","No","Yes","Yes"
"973","France","No","Yes","Yes"
"974","United States","No","Yes","Yes"
"975","France","No","Yes","Yes"
"976","Spain","No","Yes","Yes"
"977","France","No","Yes","Yes"
"978","Turkey","Yes","Yes","Yes"
"979","Colombia","No","Yes","Yes"
"982","United States","No","Yes","Yes"
"983","Jersey","No","Yes","Yes"
"984","Israel","No","Yes","Yes"
"985","United Kingdom","No","Yes","No"
"987","China","Yes","Yes","Yes"
"988","Colombia","No","Yes","Yes"
"989","United Kingdom","No","Yes","Yes"
"990","China","No","Yes","Yes"
"991","Australia","No","Yes","Yes"
"993","United States","No","Yes","Yes"
"994","Austria","No","Yes","Yes"
"996","South Africa","No","Yes","Yes"
"998","Egypt","No","Yes","Yes"
"999","United States","No","Yes","Yes"
"1000","France","Yes","Yes","No"
"1001","Colombia","No","Yes","Yes"
"1002","Egypt","No","Yes","Yes"
"1003","United States","No","Yes","Yes"
"1004","United States","No","Yes","Yes"
"1006","Turkey","No","Yes","Yes"
"1007","France","No","Yes","Yes"
"1008","Iran, Islamic Republic of","No","Yes","Yes"
"1009","France","No","Yes","Yes"
"1010","Argentina","No","Yes","Yes"
"1011","Italy","No","Yes","Yes"
"1012","Spain","No","Yes","Yes"
"1013","United States","No","Yes","Yes"
"1014","Pakistan","Yes","Yes","Yes"
"1015","United States","No","Yes","Yes"
"1016","Denmark","No","Yes","Yes"
"1017","United Kingdom","No","Yes","Yes"
"1019","Qatar","No","Yes","Yes"
"1020","Italy","No","Yes","Yes"
"1021","Spain","No","Yes","Yes"
"1022","Turkey","Yes","Yes","Yes"
"1023","Italy","No","Yes","Yes"
"1024","China","No","Yes","Yes"
"1025","Colombia","No","Yes","Yes"
"1026","United States","No","Yes","Yes"
"1027","Congo","Yes","Yes","Yes"
"1028","Canada","No","Yes","Yes"
"1030","Georgia","No","Yes","Yes"
"1032","France","No","Yes","Yes"
"1033","Russian Federation","No","Yes","Yes"
"1034","France","No","Yes","Yes"
"1035","United States","No","Yes","Yes"
"1038","Brazil","No","Yes","Yes"
"1039","Georgia","No","Yes","Yes"
"1040","United States","No","Yes","Yes"
"1041","Canada","No","Yes","Yes"
"1042","France","No","Yes","Yes"
"1043","Georgia","No","Yes","Yes"
"1044","Denmark","No","Yes","Yes"
"1045","Austria","No","Yes","Yes"
"1046","Italy","No","Yes","Yes"
"1047","United States","Yes","Yes","Yes"
"1048","France","No","Yes","Yes"
"1050","United States","No","Yes","Yes"
"1051","Greece","Yes","Yes","No"
"1052","Brazil","No","Yes","Yes"
"1053","France","No","Yes","Yes"
"1055","United Kingdom","Yes","Yes","Yes"
"1056","Switzerland","No","Yes","Yes"
"1057","Greece","No","Yes","Yes"
"1059","Canada","No","Yes","Yes"
"1060","United States","No","Yes","Yes"
"1061","Egypt","No","Yes","Yes"
"1062","Jamaica","No","Yes","Yes"
"1064","Brazil","Yes","Yes","Yes"
"1065","Israel","No","Yes","Yes"
"1066","Norway","No","Yes","Yes"
"1067","France","No","Yes","Yes"
"1068","Canada","No","Yes","Yes"
"1069","Italy","No","Yes","Yes"
"1070","United States","No","Yes","Yes"
"1071","United States","No","Yes","Yes"
"1072","Sweden","No","Yes","Yes"
"1074","United States","No","Yes","Yes"
"1075","Germany","No","Yes","Yes"
"1076","Canada","No","Yes","Yes"
"1077","Turkey","No","Yes","No"
"1078","United States","No","Yes","Yes"
"1079","France","No","Yes","Yes"
"1080","Turkey","Yes","Yes","Yes"
"1081","France","Yes","Yes","Yes"
"1082","Georgia","No","Yes","Yes"
"1083","China","No","Yes","Yes"
"1084","France","No","Yes","Yes"
"1086","France","No","Yes","Yes"
"1087","Australia","No","Yes","Yes"
"1088","United States","No","Yes","Yes"
"1089","Russian Federation","No","Yes","Yes"
"1090","France","No","Yes","Yes"
"1093","Sweden","No","Yes","Yes"
"1094","Ukraine","No","Yes","Yes"
"1095","Egypt","No","Yes","Yes"
"1096","Germany","No","Yes","Yes"
"1097","Italy","No","Yes","Yes"
"1099","Brazil","No","Yes","Yes"
"1100","Ethiopia","Yes","Yes","Yes"
"1101","United States","No","Yes","Yes"
"1102","Hong Kong","No","Yes","Yes"
"1103","Spain","No","Yes","Yes"
"1104","Canada","No","Yes","Yes"
"1105","India","Yes","Yes","Yes"
"1107","Spain","No","Yes","Yes"
"1108","Russian Federation","No","Yes","Yes"
"1109","Italy","Yes","Yes","Yes"
"1111","United States","No","Yes","Yes"
"1112","France","No","Yes","Yes"
"1113","United States","No","Yes","Yes"
"1114","United States","No","Yes","Yes"
"1115","United States","No","Yes","Yes"
"1116","Mexico","No","Yes","Yes"
"1117","Saudi Arabia","Yes","Yes","Yes"
"1118","Argentina","No","Yes","Yes"
"1119","Italy","No","Yes","Yes"
"1120","Kenya","No","Yes","Yes"
"1121","United States","No","Yes","Yes"
"1122","Korea, Republic of","No","Yes","Yes"
"1123","Egypt","Yes","Yes","Yes"
"1124","France","No","Yes","Yes"
"1125","United States","No","Yes","Yes"
"1126","Bangladesh","Yes","Yes","Yes"
"1127","Jordan","Yes","Yes","Yes"
"1128","Georgia","No","Yes","Yes"
"1129","Mexico","No","Yes","Yes"
"1130","Israel","No","Yes","Yes"
"1131","Argentina","No","Yes","Yes"
"1132","France","No","Yes","Yes"
"1133","United States","No","Yes","Yes"
"1134","Argentina","Yes","Yes","Yes"
"1135","Puerto Rico","No","Yes","Yes"
"1136","United States","No","Yes","Yes"
"1137","Egypt","No","Yes","Yes"
"1138","United States","No","Yes","Yes"
"1141","Bahrain","No","Yes","Yes"
"1142","India","No","Yes","Yes"
"1144","United States","No","Yes","Yes"
"1146","United States","Yes","Yes","Yes"
"1147","Egypt","No","Yes","Yes"
"1149","Italy","No","Yes","Yes"
"1150","Russian Federation","No","Yes","Yes"
"1152","Bangladesh","No","Yes","Yes"
"1153","Israel","No","Yes","Yes"
"1154","United States","No","Yes","Yes"
"1155","Belgium","No","Yes","Yes"
"1156","France","No","Yes","Yes"
"1157","United States","No","Yes","Yes"
"1158","Israel","No","Yes","Yes"
"1159","Hong Kong","Yes","Yes","Yes"
"1160","United States","No","Yes","Yes"
"1161","United States","No","Yes","Yes"
"1163","China","No","Yes","Yes"
"1164","Spain","No","Yes","Yes"
"1166","France","No","Yes","Yes"
"1168","United States","No","Yes","Yes"
"1169","United States","No","Yes","Yes"
"1170","Canada","No","Yes","Yes"
"1171","United States","No","Yes","Yes"
"1172","United Kingdom","No","Yes","No"
"1173","France","Yes","Yes","Yes"
"1174","France","No","Yes","Yes"
"1175","Brazil","No","Yes","Yes"
"1176","Norway","No","Yes","Yes"
"1177","United States","No","Yes","Yes"
"1178","France","No","Yes","Yes"
"1180","Korea, Republic of","Yes","Yes","Yes"
"1181","Israel","No","Yes","Yes"
"1182","Turkey","No","Yes","Yes"
"1183","Argentina","No","Yes","Yes"
"1184","United States","No","Yes","Yes"
"1185","United Kingdom","No","Yes","Yes"
"1186","Canada","No","Yes","Yes"
"1187","China","No","Yes","Yes"
"1188","Brazil","No","Yes","Yes"
"1190","Spain","No","Yes","Yes"
"1192","United States","No","Yes","No"
"1193","Canada","No","Yes","Yes"
"1194","Turkey","No","Yes","No"
"1195","India","No","Yes","No"
"1197","Netherlands","No","Yes","Yes"
"1198","Kyrgyzstan","No","Yes","Yes"
"1199","United States","No","Yes","Yes"
"1200","China","Yes","Yes","Yes"
"1201","United Kingdom","No","Yes","Yes"
"1202","France","No","Yes","Yes"
"1203","Moldova, Republic of","No","Yes","Yes"
"1204","United States","No","Yes","Yes"
"1205","United States","Yes","Yes","Yes"
"1206","Slovenia","No","Yes","Yes"
"1207","France","No","Yes","Yes"
"1209","United States","No","Yes","Yes"
"1211","United States","No","Yes","Yes"
"1212","Singapore","No","Yes","No"
"1213","United States","No","Yes","Yes"
"1214","Singapore","No","Yes","Yes"
"1216","Brazil","No","Yes","Yes"
"1217","United States","No","Yes","Yes"
"1218","Saudi Arabia","No","Yes","Yes"
"1219","Egypt","Yes","Yes","Yes"
"1220","United Kingdom","Yes","Yes","Yes"
"1222","United Kingdom","No","Yes","Yes"
"1223","Saudi Arabia","No","Yes","Yes"
"1224","United States","No","Yes","Yes"
"1225","Iraq","No","Yes","Yes"
"1226","France","No","Yes","Yes"
"1227","United States","No","Yes","Yes"
"1228","United States","No","Yes","Yes"
"1229","United States","No","Yes","Yes"
"1230","China","No","Yes","No"
"1232","Jersey","No","Yes","Yes"
"1233","Brazil","No","Yes","Yes"
"1234","Belgium","No","Yes","Yes"
"1236","Netherlands","No","Yes","Yes"
"1237","United States","No","Yes","Yes"
"1238","India","No","Yes","No"
"1239","Mexico","No","Yes","Yes"
"1240","France","No","Yes","Yes"
"1241","United Kingdom","Yes","Yes","Yes"
"1242","India","No","Yes","Yes"
"1243","United States","No","Yes","Yes"
"1244","Egypt","Yes","Yes","Yes"
"1246","Pakistan","No","Yes","No"
"1248","France","Yes","Yes","Yes"
"1249","Spain","No","Yes","Yes"
"1250","Germany","No","Yes","Yes"
"1251","Luxembourg","No","Yes","Yes"
"1252","Denmark","No","Yes","Yes"
"1253","France","No","Yes","Yes"
"1254","France","No","Yes","Yes"
"1255","United Kingdom","Yes","Yes","Yes"
"1256","Hong Kong","No","Yes","Yes"
"1257","United States","No","Yes","Yes"
"1258","Egypt","Yes","Yes","Yes"
"1260","Jersey","No","Yes","Yes"
"1261","Belgium","No","Yes","Yes"
"1262","Canada","Yes","Yes","Yes"
"1263","United States","No","Yes","Yes"
"1264","United Kingdom","No","Yes","Yes"
"1265","United States","No","Yes","Yes"
"1266","Belgium","No","Yes","Yes"
"1267","United States","Yes","Yes","Yes"
"1268","France","No","Yes","Yes"
"1269","France","No","Yes","Yes"
"1270","Turkey","No","Yes","No"
"1271","United States","No","Yes","Yes"
"1273","Belgium","Yes","Yes","Yes"
"1274","Spain","Yes","Yes","Yes"
"1275","United States","No","Yes","Yes"
"1277","United States","No","Yes","Yes"
"1278","India","No","Yes","Yes"
"1281","United States","No","Yes","Yes"
"1282","Brazil","No","Yes","Yes"
"1283","United States","No","Yes","Yes"
"1284","Sweden","No","Yes","Yes"
"1285","Bangladesh","No","Yes","Yes"
"1286","Spain","No","Yes","Yes"
"1287","United States","No","Yes","Yes"
"1288","United States","No","Yes","Yes"
"1289","Argentina","No","Yes","Yes"
"1290","Brazil","No","Yes","Yes"
"1291","Bangladesh","No","Yes","Yes"
"1293","Pakistan","No","Yes","No"
"1294","Russian Federation","No","Yes","Yes"
"1295","United Kingdom","Yes","No","No"
"1296","United States","No","Yes","Yes"
"1297","Italy","No","Yes","Yes"
"1298","United States","No","Yes","Yes"
"1300","France","No","Yes","Yes"
"1302","India","No","Yes","Yes"
"1303","United States","No","Yes","Yes"
"1306","Côte d'Ivoire","No","Yes","Yes"
"1307","Kuwait","Yes","Yes","Yes"
"1308","France","No","Yes","Yes"
"1309","Colombia","No","Yes","Yes"
"1311","Canada","No","Yes","Yes"
"1312","France","No","Yes","Yes"
"1313","France","No","Yes","Yes"
"1314","Iran, Islamic Republic of","No","Yes","Yes"
"1315","Saudi Arabia","No","Yes","Yes"
"1316","Turkey","No","Yes","No"
"1317","Mexico","No","Yes","Yes"
"1318","Russian Federation","No","Yes","Yes"
"1319","Turkey","No","Yes","Yes"
"1320","Spain","No","Yes","Yes"
"1321","United Kingdom","No","Yes","Yes"
"1323","Canada","Yes","Yes","Yes"
"1325","Bangladesh","No","Yes","Yes"
"1328","Belgium","No","Yes","Yes"
"1329","United States","No","Yes","Yes"
"1331","Austria","Yes","Yes","Yes"
"1332","Belgium","No","Yes","Yes"
"1333","Italy","No","Yes","Yes"
"1334","France","No","Yes","Yes"
"1335","China","No","Yes","Yes"
"1338","Iran, Islamic Republic of","No","Yes","Yes"
"1339","Mexico","No","Yes","Yes"
"1340","United States","No","Yes","Yes"
"1343","France","No","Yes","Yes"
"1344","United Kingdom","No","Yes","Yes"
"1346","Egypt","Yes","Yes","Yes"
"1347","Egypt","Yes","Yes","Yes"
"1348","Italy","No","Yes","Yes"
"1350","United States","No","Yes","Yes"
"1351","Egypt","No","Yes","Yes"
"1353","United States","Yes","Yes","Yes"
"1354","Mexico","No","Yes","Yes"
"1356","France","No","Yes","Yes"
"1357","Belgium","No","Yes","Yes"
"1358","Canada","No","Yes","Yes"
"1362","France","No","Yes","Yes"
"1363","United States","No","Yes","Yes"
"1364","United Kingdom","No","Yes","Yes"
"1365","Brazil","No","Yes","Yes"
"1366","France","No","Yes","Yes"
"1367","France","Yes","Yes","Yes"
"1368","Spain","No","Yes","Yes"
"1369","Switzerland","No","Yes","Yes"
"1370","United States","No","Yes","Yes"
"1372","China","No","Yes","Yes"
"1373","United States","Yes","Yes","Yes"
"1374","France","No","Yes","Yes"
"1375","United States","No","Yes","Yes"
"1376","India","No","Yes","Yes"
"1378","France","No","Yes","Yes"
"1379","Argentina","No","Yes","Yes"
"1380","Brazil","No","Yes","Yes"
"1381","Argentina","Yes","Yes","Yes"
"1382","Georgia","No","Yes","Yes"
"1383","United States","No","Yes","Yes"
"1384","Israel","No","Yes","Yes"
"1385","Italy","No","Yes","Yes"
"1386","France","Yes","Yes","Yes"
"1387","China","No","Yes","Yes"
"1389","Turkey","No","Yes","Yes"
"1390","China","No","Yes","Yes"
"1391","United States","No","Yes","Yes"
"1392","Germany","No","Yes","Yes"
"1394","France","No","Yes","Yes"
"1395","United States","Yes","Yes","Yes"
"1396","France","No","Yes","Yes"
"1397","United States","No","Yes","Yes"
"1398","Jersey","No","Yes","Yes"
"1400","Canada","No","Yes","Yes"
"1401","Belarus","No","Yes","No"
"1402","France","No","Yes","Yes"
"1403","Australia","No","Yes","Yes"
"1404","United States","Yes","Yes","Yes"
"1406","Argentina","No","Yes","Yes"
"1407","Italy","Yes","Yes","Yes"
"1408","United Kingdom","No","Yes","Yes"
"1409","France","No","Yes","No"
"1410","Canada","No","Yes","Yes"
"1411","Greece","No","Yes","Yes"
"1413","Spain","Yes","Yes","Yes"
"1414","India","No","Yes","Yes"
"1415","Argentina","No","Yes","Yes"
"1416","France","No","Yes","Yes"
"1417","India","No","Yes","No"
"1418","France","No","Yes","Yes"
"1419","Canada","Yes","Yes","Yes"
"1420","United States","No","Yes","Yes"
"1421","United States","No","Yes","Yes"
"1422","Canada","No","Yes","Yes"
"1423","Spain","No","Yes","Yes"
"1426","France","No","Yes","Yes"
"1427","China","No","Yes","No"
"1428","Mexico","No","Yes","Yes"
"1429","France","Yes","Yes","Yes"
"1430","United States","No","Yes","Yes"
"1431","United States","No","Yes","Yes"
"1432","Pakistan","No","Yes","Yes"
"1433","Italy","No","Yes","Yes"
"1434","Saudi Arabia","No","Yes","No"
"1435","Oman","No","Yes","Yes"
"1436","United States","No","Yes","No"
"1437","United States","No","Yes","No"
"1439","South Africa","No","Yes","Yes"
"1440","United States","No","Yes","Yes"
"1441","Spain","Yes","Yes","Yes"
"1442","Switzerland","No","Yes","Yes"
"1444","Argentina","No","Yes","Yes"
"1445","Italy","No","Yes","Yes"
"1446","South Africa","No","Yes","Yes"
"1447","Brazil","No","Yes","Yes"
"1448","France","No","Yes","Yes"
"1449","Luxembourg","No","Yes","Yes"
"1450","France","No","Yes","Yes"
"1451","United States","No","Yes","Yes"
"1453","Egypt","No","Yes","Yes"
"1454","United Kingdom","No","Yes","Yes"
"1455","Egypt","No","Yes","Yes"
"1456","United States","No","Yes","Yes"
"1457","Spain","No","Yes","Yes"
"1458","China","No","Yes","Yes"
"1460","Tunisia","No","Yes","Yes"
"1461","Egypt","No","Yes","Yes"
"1462","Israel","No","Yes","Yes"
"1463","India","No","Yes","Yes"
"1464","Saudi Arabia","No","Yes","Yes"
"1467","United States","No","Yes","Yes"
"1468","France","No","Yes","Yes"
"1469","France","No","Yes","Yes"
"1470","France","Yes","Yes","Yes"
"1471","United States","Yes","Yes","No"
"1472","Russian Federation","No","Yes","Yes"
"1473","United States","Yes","Yes","Yes"
"1474","France","No","Yes","Yes"
"1475","France","No","Yes","Yes"
"1476","Colombia","No","Yes","Yes"
"1477","Pakistan","No","Yes","Yes"
"1478","France","No","Yes","Yes"
"1479","France","Yes","Yes","Yes"
"1480","Bulgaria","No","Yes","Yes"
"1481","Egypt","Yes","Yes","No"
"1482","Canada","No","Yes","Yes"
"1483","United States","Yes","Yes","Yes"
"1484","Argentina","No","Yes","Yes"
"1485","United Kingdom","No","Yes","Yes"
"1486","Belgium","No","Yes","Yes"
"1487","United States","No","Yes","Yes"
"1488","Italy","No","Yes","Yes"
"1489","United Kingdom","No","Yes","Yes"
"1490","United States","No","Yes","Yes"
"1491","Hong Kong","No","Yes","Yes"
"1492","United States","No","Yes","Yes"
"1494","South Africa","No","Yes","Yes"
"1495","United Kingdom","No","Yes","Yes"
"1496","France","No","Yes","Yes"
"1497","Belgium","Yes","Yes","Yes"
"1498","France","No","Yes","Yes"
"1499","United States","No","Yes","Yes"
"1500","Brazil","Yes","Yes","No"
"1501","Egypt","Yes","Yes","Yes"
"1502","Turkey","No","Yes","Yes"
"1503","Pakistan","No","Yes","No"
"1504","Egypt","No","Yes","Yes"
"1505","Turkey","No","Yes","Yes"
"1506","France","No","Yes","Yes"
"1507","Peru","No","Yes","Yes"
"1508","United Kingdom","No","Yes","Yes"
"1509","France","Yes","Yes","Yes"
"1510","Iceland","No","Yes","Yes"
"1511","Egypt","Yes","Yes","Yes"
"1512","Tunisia","No","Yes","Yes"
"1513","United Kingdom","No","Yes","Yes"
"1514","Italy","No","Yes","Yes"
"1515","Argentina","No","Yes","Yes"
"1517","Denmark","No","Yes","Yes"
"1518","United Kingdom","Yes","Yes","Yes"
"1519","Russian Federation","No","Yes","Yes"
"1520","Brazil","No","Yes","Yes"
"1521","Belgium","No","Yes","Yes"
"1523","Canada","No","Yes","Yes"
"1524","Italy","No","Yes","Yes"
"1525","Spain","Yes","Yes","Yes"
"1526","France","No","Yes","Yes"
"1527","United States","No","Yes","Yes"
"1528","Japan","No","Yes","Yes"
"1529","Germany","No","Yes","Yes"
"1530","China","No","Yes","Yes"
"1531","United States","No","Yes","Yes"
"1532","United States","No","Yes","Yes"
"1533","Brazil","No","Yes","Yes"
"1534","Egypt","No","Yes","Yes"
"1535","Italy","No","Yes","Yes"
"1536","Italy","No","Yes","Yes"
"1537","United States","No","Yes","Yes"
"1538","India","No","Yes","Yes"
"1539","Canada","No","Yes","Yes"
"1540","Egypt","No","Yes","Yes"
"1542","United States","No","Yes","Yes"
"1543","France","Yes","Yes","Yes"
"1544","India","Yes","Yes","Yes"
"1545","Turkey","No","Yes","No"
"1546","Jersey","No","Yes","Yes"
"1547","France","No","Yes","Yes"
"1548","Mexico","No","Yes","No"
"1549","Argentina","No","Yes","Yes"
"1550","Niger","No","Yes","Yes"
"1551","United States","No","Yes","Yes"
"1552","Italy","No","Yes","Yes"
"1553","United States","No","Yes","Yes"
"1554","United Kingdom","No","Yes","Yes"
"1555","Guinea","No","Yes","Yes"
"1556","France","No","Yes","Yes"
"1557","United Kingdom","No","Yes","Yes"
"1558","Belgium","No","Yes","Yes"
"1559","United States","No","Yes","Yes"
"1560","Argentina","No","Yes","Yes"
"1561","Jersey","No","Yes","Yes"
"1562","Greece","No","Yes","Yes"
"1563","Nepal","No","Yes","Yes"
"1564","Canada","No","Yes","Yes"
"1565","France","No","Yes","Yes"
"1566","United Kingdom","No","Yes","Yes"
"1567","France","No","Yes","Yes"
"1568","Spain","No","Yes","Yes"
"1569","Australia","No","Yes","Yes"
"1570","France","No","Yes","Yes"
"1571","China","No","Yes","Yes"
"1572","Spain","Yes","Yes","Yes"
"1573","Mexico","No","Yes","Yes"
"1574","France","Yes","Yes","Yes"
"1575","Brazil","No","Yes","Yes"
"1576","Egypt","No","Yes","Yes"
"1577","China","No","Yes","Yes"
"1578","Egypt","Yes","Yes","Yes"
"1579","Egypt","Yes","Yes","No"
"1580","Italy","Yes","Yes","Yes"
"1581","Italy","No","Yes","Yes"
"1582","United States","No","Yes","Yes"
"1583","Russian Federation","No","Yes","Yes"
"1584","Georgia","Yes","Yes","No"
"1585","India","No","Yes","Yes"
"1587","United States","No","Yes","Yes"
"1588","Egypt","No","Yes","Yes"
"1589","India","No","Yes","Yes"
"1590","France","No","Yes","Yes"
"1591","Spain","No","Yes","Yes"
"1593","United States","No","Yes","Yes"
"1594","Turkey","No","Yes","No"
"1595","Italy","Yes","Yes","Yes"
"1596","India","No","Yes","Yes"
"1597","United States","No","Yes","Yes"
"1598","Spain","Yes","Yes","Yes"
"1599","Egypt","Yes","Yes","Yes"
"1600","France","No","Yes","Yes"
"1601","Brazil","No","Yes","Yes"
"1603","Bangladesh","No","Yes","Yes"
"1604","China","No","Yes","Yes"
"1605","Turkey","Yes","Yes","No"
"1606","Greece","Yes","Yes","Yes"
"1607","Denmark","Yes","No","No"
"1608","United States","No","Yes","Yes"
"1609","Italy","No","Yes","Yes"
"1610","France","No","Yes","Yes"
"1611","Russian Federation","No","Yes","Yes"
"1612","Russian Federation","No","Yes","Yes"
"1613","Canada","Yes","Yes","Yes"
"1614","Chile","No","Yes","Yes"
"1615","Jordan","No","Yes","Yes"
"1616","United Arab Emirates","No","Yes","Yes"
"1618","Brazil","No","Yes","Yes"
"1619","Greece","No","Yes","Yes"
"1620","France","Yes","Yes","Yes"
"1621","United States","No","Yes","Yes"
"1622","Czech Republic","Yes","Yes","Yes"
"1623","United States","No","Yes","Yes"
"1624","France","Yes","Yes","Yes"
"1625","China","No","Yes","Yes"
"1626","Australia","No","Yes","Yes"
"1627","France","No","Yes","Yes"
"1628","United States","No","Yes","Yes"
"1629","Brazil","No","Yes","Yes"
"1630","Spain","No","Yes","Yes"
"1631","Argentina","No","Yes","Yes"
"1632","France","No","Yes","Yes"
"1633","France","No","Yes","Yes"
"1634","Turkey","No","Yes","No"
"1635","Brazil","No","Yes","Yes"
"1637","South Africa","No","Yes","Yes"
"1638","United States","No","Yes","Yes"
"1639","France","No","Yes","Yes"
"1640","China","Yes","Yes","Yes"
"1641","Pakistan","No","Yes","Yes"
"1642","France","No","Yes","Yes"
"1645","United States","No","Yes","Yes"
"1646","Italy","No","Yes","Yes"
"1647","Belgium","Yes","Yes","Yes"
"1648","United States","No","Yes","Yes"
"1649","Greece","No","Yes","Yes"
"1651","Israel","No","Yes","Yes"
"1652","Germany","No","Yes","Yes"
"1653","Switzerland","No","Yes","Yes"
"1654","Turkey","No","Yes","Yes"
"1655","Sweden","No","Yes","Yes"
"1656","United States","No","Yes","Yes"
"1657","Israel","No","Yes","No"
"1658","United States","No","Yes","Yes"
"1659","Canada","No","Yes","Yes"
"1661","United States","No","Yes","Yes"
"1663","Pakistan","No","Yes","Yes"
"1664","Canada","Yes","Yes","No"
"1665","France","No","Yes","Yes"
"1666","Brazil","No","Yes","Yes"
"1667","France","No","Yes","Yes"
"1668","France","No","Yes","Yes"
"1669","Saudi Arabia","No","Yes","Yes"
"1670","Mexico","No","Yes","Yes"
"1671","Egypt","Yes","Yes","Yes"
"1674","Spain","No","Yes","Yes"
"1675","Austria","Yes","Yes","Yes"
"1676","France","No","Yes","Yes"
"1677","Israel","No","Yes","Yes"
"1679","France","No","Yes","Yes"
"1680","France","No","Yes","Yes"
"1681","United Kingdom","No","Yes","Yes"
"1682","India","No","Yes","Yes"
"1683","Canada","No","Yes","Yes"
"1684","China","Yes","Yes","Yes"
"1685","Colombia","No","Yes","Yes"
"1686","Bangladesh","No","Yes","Yes"
"1687","France","Yes","Yes","Yes"
"1688","Turkey","No","Yes","Yes"
"1689","United States","No","Yes","Yes"
"1690","Belgium","Yes","Yes","Yes"
"1691","Egypt","No","Yes","No"
"1692","France","No","Yes","Yes"
"1693","United States","No","Yes","Yes"
"1694","Germany","Yes","Yes","Yes"
"1696","United Kingdom","No","Yes","Yes"
"1697","Pakistan","Yes","Yes","Yes"
"1698","Egypt","No","Yes","No"
"1699","China","No","Yes","Yes"
"1700","United Kingdom","No","Yes","Yes"
"1701","Turkey","No","Yes","Yes"
